.id,.index,.observed
subj_1,1,65
subj_1,2,165
subj_1,3,173
subj_1,4,307
subj_1,5,290
subj_1,6,182
subj_1,7,0
subj_1,8,28
subj_1,9,14
subj_1,10,10
subj_1,11,69
subj_1,12,92
subj_1,13,62
subj_1,14,71
subj_1,15,62
subj_1,16,18
subj_1,17,0
subj_1,18,38
subj_1,19,0
subj_1,20,17
subj_1,21,44
subj_1,22,3
subj_1,23,10
subj_1,24,41
subj_1,25,71
subj_1,26,38
subj_1,27,87
subj_1,28,83
subj_1,29,49
subj_1,30,63
subj_1,31,34
subj_1,32,33
subj_1,33,80
subj_1,34,111
subj_1,35,159
subj_1,36,88
subj_1,37,54
subj_1,38,65
subj_1,39,129
subj_1,40,169
subj_1,41,76
subj_1,42,78
subj_1,43,138
subj_1,44,157
subj_1,45,215
subj_1,46,287
subj_1,47,176
subj_1,48,388
subj_1,49,277
subj_1,50,280
subj_1,51,441
subj_1,52,446
subj_1,53,443
subj_1,54,458
subj_1,55,414
subj_1,56,459
subj_1,57,519
subj_1,58,488
subj_1,59,356
subj_1,60,389
subj_1,61,617
subj_1,62,379
subj_1,63,489
subj_1,64,729
subj_1,65,986
subj_1,66,1080
subj_1,67,864
subj_1,68,748
subj_1,69,915
subj_1,70,844
subj_1,71,495
subj_1,72,674
subj_1,73,803
subj_1,74,737
subj_1,75,711
subj_1,76,749
subj_1,77,572
subj_1,78,680
subj_1,79,881
subj_1,80,794
subj_1,81,994
subj_1,82,981
subj_1,83,1191
subj_1,84,955
subj_1,85,707
subj_1,86,591
subj_1,87,391
subj_1,88,709
subj_1,89,799
subj_1,90,894
subj_1,91,642
subj_1,92,744
subj_1,93,596
subj_1,94,657
subj_1,95,521
subj_1,96,832
subj_1,97,1001
subj_1,98,470
subj_1,99,600
subj_1,100,740
subj_1,101,590
subj_1,102,1000
subj_1,103,1133
subj_1,104,894
subj_1,105,680
subj_1,106,903
subj_1,107,930
subj_1,108,991
subj_1,109,844
subj_1,110,1049
subj_1,111,904
subj_1,112,920
subj_1,113,982
subj_1,114,965
subj_1,115,604
subj_1,116,913
subj_1,117,812
subj_1,118,1001
subj_1,119,978
subj_1,120,782
subj_1,121,982
subj_1,122,1008
subj_1,123,1193
subj_1,124,790
subj_1,125,734
subj_1,126,680
subj_1,127,612
subj_1,128,283
subj_1,129,731
subj_1,130,915
subj_1,131,829
subj_1,132,603
subj_1,133,876
subj_1,134,749
subj_1,135,710
subj_1,136,477
subj_1,137,586
subj_1,138,243
subj_1,139,148
subj_1,140,18
subj_1,141,228
subj_1,142,254
subj_1,143,296
subj_1,144,116
subj_2,1,407
subj_2,2,194
subj_2,3,222
subj_2,4,328
subj_2,5,249
subj_2,6,70
subj_2,7,99
subj_2,8,160
subj_2,9,215
subj_2,10,189
subj_2,11,175
subj_2,12,54
subj_2,13,121
subj_2,14,181
subj_2,15,89
subj_2,16,72
subj_2,17,14
subj_2,18,89
subj_2,19,75
subj_2,20,19
subj_2,21,45
subj_2,22,85
subj_2,23,32
subj_2,24,39
subj_2,25,48
subj_2,26,30
subj_2,27,85
subj_2,28,58
subj_2,29,41
subj_2,30,67
subj_2,31,65
subj_2,32,56
subj_2,33,45
subj_2,34,89
subj_2,35,49
subj_2,36,38
subj_2,37,98
subj_2,38,91
subj_2,39,106
subj_2,40,94
subj_2,41,33
subj_2,42,0
subj_2,43,0
subj_2,44,0
subj_2,45,0
subj_2,46,50
subj_2,47,290
subj_2,48,412
subj_2,49,252
subj_2,50,400
subj_2,51,640
subj_2,52,589
subj_2,53,494
subj_2,54,416
subj_2,55,592
subj_2,56,574
subj_2,57,576
subj_2,58,559
subj_2,59,797
subj_2,60,592
subj_2,61,499
subj_2,62,696
subj_2,63,486
subj_2,64,457
subj_2,65,524
subj_2,66,512
subj_2,67,552
subj_2,68,708
subj_2,69,464
subj_2,70,537
subj_2,71,747
subj_2,72,554
subj_2,73,596
subj_2,74,610
subj_2,75,814
subj_2,76,724
subj_2,77,605
subj_2,78,601
subj_2,79,549
subj_2,80,451
subj_2,81,575
subj_2,82,726
subj_2,83,661
subj_2,84,694
subj_2,85,744
subj_2,86,892
subj_2,87,1082
subj_2,88,958
subj_2,89,1150
subj_2,90,861
subj_2,91,874
subj_2,92,803
subj_2,93,622
subj_2,94,744
subj_2,95,790
subj_2,96,544
subj_2,97,920
subj_2,98,870
subj_2,99,783
subj_2,100,833
subj_2,101,885
subj_2,102,935
subj_2,103,1125
subj_2,104,630
subj_2,105,674
subj_2,106,516
subj_2,107,511
subj_2,108,740
subj_2,109,956
subj_2,110,665
subj_2,111,548
subj_2,112,618
subj_2,113,908
subj_2,114,819
subj_2,115,814
subj_2,116,894
subj_2,117,930
subj_2,118,937
subj_2,119,965
subj_2,120,1105
subj_2,121,1132
subj_2,122,919
subj_2,123,698
subj_2,124,845
subj_2,125,1059
subj_2,126,1131
subj_2,127,1305
subj_2,128,1085
subj_2,129,911
subj_2,130,822
subj_2,131,869
subj_2,132,649
subj_2,133,624
subj_2,134,690
subj_2,135,353
subj_2,136,211
subj_2,137,134
subj_2,138,122
subj_2,139,142
subj_2,140,248
subj_2,141,259
subj_2,142,297
subj_2,143,380
subj_2,144,279
subj_3,1,101
subj_3,2,13
subj_3,3,0
subj_3,4,0
subj_3,5,0
subj_3,6,0
subj_3,7,0
subj_3,8,0
subj_3,9,0
subj_3,10,0
subj_3,11,0
subj_3,12,0
subj_3,13,0
subj_3,14,0
subj_3,15,0
subj_3,16,10
subj_3,17,9
subj_3,18,62
subj_3,19,48
subj_3,20,29
subj_3,21,0
subj_3,22,57
subj_3,23,52
subj_3,24,86
subj_3,25,65
subj_3,26,58
subj_3,27,80
subj_3,28,64
subj_3,29,36
subj_3,30,0
subj_3,31,26
subj_3,32,60
subj_3,33,74
subj_3,34,70
subj_3,35,54
subj_3,36,94
subj_3,37,103
subj_3,38,74
subj_3,39,138
subj_3,40,129
subj_3,41,87
subj_3,42,73
subj_3,43,29
subj_3,44,120
subj_3,45,210
subj_3,46,438
subj_3,47,324
subj_3,48,338
subj_3,49,801
subj_3,50,760
subj_3,51,705
subj_3,52,791
subj_3,53,685
subj_3,54,838
subj_3,55,725
subj_3,56,695
subj_3,57,693
subj_3,58,791
subj_3,59,660
subj_3,60,958
subj_3,61,936
subj_3,62,834
subj_3,63,884
subj_3,64,971
subj_3,65,862
subj_3,66,1009
subj_3,67,934
subj_3,68,1023
subj_3,69,1166
subj_3,70,1417
subj_3,71,1186
subj_3,72,1123
subj_3,73,993
subj_3,74,1198
subj_3,75,1102
subj_3,76,1065
subj_3,77,966
subj_3,78,958
subj_3,79,917
subj_3,80,794
subj_3,81,926
subj_3,82,749
subj_3,83,869
subj_3,84,962
subj_3,85,1153
subj_3,86,1163
subj_3,87,662
subj_3,88,897
subj_3,89,1000
subj_3,90,693
subj_3,91,641
subj_3,92,767
subj_3,93,472
subj_3,94,380
subj_3,95,438
subj_3,96,570
subj_3,97,742
subj_3,98,445
subj_3,99,560
subj_3,100,298
subj_3,101,502
subj_3,102,559
subj_3,103,559
subj_3,104,697
subj_3,105,576
subj_3,106,712
subj_3,107,616
subj_3,108,779
subj_3,109,419
subj_3,110,227
subj_3,111,494
subj_3,112,510
subj_3,113,460
subj_3,114,274
subj_3,115,358
subj_3,116,494
subj_3,117,423
subj_3,118,345
subj_3,119,738
subj_3,120,784
subj_3,121,819
subj_3,122,858
subj_3,123,680
subj_3,124,735
subj_3,125,514
subj_3,126,674
subj_3,127,814
subj_3,128,675
subj_3,129,650
subj_3,130,772
subj_3,131,868
subj_3,132,648
subj_3,133,327
subj_3,134,519
subj_3,135,606
subj_3,136,478
subj_3,137,477
subj_3,138,535
subj_3,139,524
subj_3,140,308
subj_3,141,271
subj_3,142,198
subj_3,143,44
subj_3,144,29
subj_4,1,358
subj_4,2,405
subj_4,3,370
subj_4,4,356
subj_4,5,276
subj_4,6,259
